cas_number,chemical_id,name,substance,other_name,brand,package_size,storage_location,molecular_weight,density (g/mL),state
7440-05-3,448,Palladium,钯/碳,,adamas,5g,D2,106.42,1.025,solid
7446-08-4,449,Selenium(IV) oxide,二氧化硒,,3A,25g,4-3C,110.96,4.81,solid
7623-09-8,450,2-Chloropropionyl chloride,2-氯丙酰氯,,adamas,25g,1-5-3,126.97,1.308,liquid
7647-10-1,451,Palladium(II) chloride,氯化钯,,adamas,1g,D2,177.33,40,solid
7758-02-3,452,Potassium bromide,溴化钾,,麦克林,100g,4-2c,119.0,3.119,solid
7758-11-4,453,Potassium phosphate dibasic,"磷酸氢二钾,无水",,毕得,500g,4-2b,174.18,2.44,solid
7773-01-5,454,Manganese(II) chloride,氯化锰,,adamas,2g,D2,125.84,2.98,solid
100-06-1,455,4'-Methoxyacetophenone,对甲氧基苯乙酮,,安耐吉,25g,2-3,150.17,1.08,solid
100-07-2,456,4-Methoxybenzoyl chloride,对甲氧基苯甲酰氯,,adamas,25g,1-5-3,170.59,1.26,liquid
100-09-4,457,4-Methoxybenzoic acid,对甲氧基苯甲酸,,毕得,100g,1-5-5,152.15,1.385,solid
100-10-7,458,4-(dimethylamino)benzaldehyde,对二甲胺基苯甲醛,,adamas,100g,3-2A;4-3,149.19,1.1,solid
100-13-0,459,4-Nitrostyrene,4-硝基苯乙烯,,adamas,5g,3-4,149.15,1.163,liquid
100-21-0,460,terephthalic acid,对苯二甲酸,,adamas,25g,1-4-5,166.13,1.58,solid
1002-28-4,461,3-Hexyn-1-ol,3-己炔-1-醇,,adamas;安耐吉,5g,2-2A;3-2,98.14,0.898,liquid
10025-73-7,462,Chromium (III) Chloride,无水三氯化铬,,安耐吉,10g,gR-催化剂,158.36,2.87,solid
10025-77-1,463,Iron chloride hexahydrate,三氯化铁(III) 六水合物,,安耐吉,500g,5-2,270.3,1.82,solid
10025-78-2,464,Trichlorosilane,三氯硅烷,,安耐吉,75g,R1,135.45,1.342,liquid
10025-82-8,465,Indium chloride,氯化铟,,adamas,5g,D2,221.18,3.46,solid
10025-87-3,466,(Phosphorus oxitrichloride;Phosphorus(V) oxychloride),三氯氧磷,,安耐吉,100g;100ml,1-5-6;2-2C,153.33,1.645,liquid
10026-13-8,467,Phosphorus pentachloride,五氯化磷,,3A;adamas,100g;500g;0,3-3;gL;危化品最底层,208.24,1.6,solid
10026-17-2,468,Cobalt(II) fluoride,氟化钴,,adamas,1g,gR-催化剂,96.93,4.46,solid
10026-22-9,469,Cobalt nitrate hexahydrate,"硝酸钴,六水",,adamas,100g,D2,291.03,1.88,solid
10028-22-5,470,Iron Sulfate,硫酸铁,,adamas,25g,D3,399.88,3.097,solid
10031-26-2,471,Iron(III) bromide,溴化铁(III),,adamas,5g,gR-催化剂,295.56,4.5,solid
10031-43-3,472,Copper(II) nitrate trihydrate,"硝酸铜,三水合物",,adamas,25g,D3,144.57,2.32,solid
10031-53-5,473,Europium(III) nitrate hexahydrate,硝酸铕(III) 六水合物,,adamas,25g,D2-2A,446.07,,solid
10034-81-8,474,Magnesium perchlorate,高氯酸镁,,adamas,25g,7-2,223.2,2.21,solid
100367-39-3,475,4-bromo-2-methoxypyridine,2-甲氧基-4-溴吡啶,,安耐吉,5g,1-3-3,188.02,1.53,solid
1003886-05-2,476,"(4S,4'S)-2,2'-(Cyclopentane-1,1-diyl)-bis(4-benzyl-4,5-dihydrooxazole)","(4S,4'S)-2,2'-(环戊烷-1,1-二基)-双(4-苄基-4,5-二氢噁唑)",,BLD,250mg,gR-配体,388.5,1.21,solid
100-39-0,477,Benzyl bromide,溴化苄,,adamas,100g,1-3-2,171.03,1.44,liquid
100-41-4,478,ethylbenzene,乙基苯,,adamas,5ml,1-5-2,106.17,0.867,liquid
100-42-5,479,Styrene,苯乙烯,,adamas,100ml,R8,104.15,0.906,liquid
10043-35-3,480,boric acid,硼酸,,adamas,500g,4-2B,61.83,1.44,solid
10043-52-4,481,Calcium chloride,无水氯化钙,,安耐吉,500g,6-1,110.98,1.086,solid
10043-52-4,482,Calcium chloride,氯化钙,,毕得,500g,6-1,110.98,1.086,solid
100-44-7,483,Benzyl chloride,氯化苄,,adamas,500g,1-2,126.58,1.1,liquid
100-46-9,484,Benzylamine,苄胺,,adamas,25g,3-5,107.15,0.981,liquid
100-47-0,485,Benzonitrile,苯甲腈,,adamas,100g,3-4,103.12,1.01,liquid
100-48-1,486,4-Cyanopyridine,4-氰基吡啶,,adamas,25g,4-2-2,104.11,1.1145,solid
10049-05-5,487,Chromium(II) Chloride,氯化铬,,安耐吉,1g,gR-催化剂,122.9,2.9,solid
100-51-6,488,benzyl alcohol,苯甲醇,,adamas,100g,2-2,108.14,1.045,liquid
100-52-7,489,benzaldehyde,苯甲醛,,adamas,100ml,4-3,106.12,1.044,liquid
100-53-8,490,Benzyl mercaptan,苄硫醇,,adamas,25g,R1,124.2,1.058,liquid
100-58-3,491,Phenylmagnesium bromide,苯基溴化镁,,adamas;安耐吉,100ml;1L;500ml,R2;R4;R5,181.31,1.134,solid
100-59-4,492,PHENYLMAgNESIUM CHLORIDE,苯基氯化镁,,安耐吉,500ml,R5,136.86,0.98,solid
100643-71-8,493,Desloratadine,地氯雷他定,,安耐吉,5g,R1,310.82,1.2,solid
100-66-3,494,Anisole,苯甲醚,,adamas,100ml,溶剂,108.14,0.995,liquid
100-69-6,495,2-Vinylpyridine,2-乙烯基吡啶,,安耐吉,5ml,R8,105.14,0.975,liquid
1007-03-0,496,Cyclopropyl phenyl carbinol,环丙基苯基碳酸酯,,adamas,1g,2-2,148.2,1.037,liquid
100-70-9,497,2-Cyanopyridine,2-氰基吡啶,,adamas,100g,3-4,104.11,1.081,liquid
100-71-0,498,2-Ethylpyridine,2-乙基吡啶,,adamas,25ml,4-2-1,107.15,0.937,liquid
1007-26-7,499,Neopentylbenzene,"(2,2-二甲基丙基)苯",,adamas,250mg,4-3A,148.24,0.858,liquid
10075-52-2,500,5-bromo-1-methyl-1H-indole,5-溴-1-甲基-1H-吲哚,,adamas,5g,1-3-3,210.07,1.47,solid
100-76-5,501,Quinuclidine,奎宁环,,安耐吉,1g,4-2-3,111.18,0.8928,solid
100-86-7,502,2-Methyl-1-phenyl-2-propanol,二甲基苄基原醇,,安耐吉,25g,2-2,150.22,0.974,liquid
1009-67-2,503,alpha-methylhydrocinnamic acid,a-甲基去氢肉桂酸,,adamas,5g;1g,1-4-2,164.2,1.065,solid
101-02-0,504,Triphenyl phosphite,亚磷酸三苯酯,,adamas,100ml,3-3,310.28,1.184,liquid
10124-43-3,505,cobalt sulfate anhydrous,硫酸钴,,安耐吉,25g,D2,155.0,3.71,solid
