cas_number,chemical_id,name,substance,other_name,brand,package_size,storage_location,molecular_weight,density (g/mL),state
14647-23-5,943,"1,2-Bis(diphenylphosphino)ethane nickel(II) chloride","[1,2-双(二苯基膦)乙烷]二氯化镍(II)",,adamas,25g,D1,528.02,,solid
14649-03-7,944,(S)-(-)-alpha-Methylbenzyl isocyanate,(S)-(-)-1-苯乙基异氰酸酯,,adamas,5g,2-4,147.17,1.045,solid
14667-55-1,945,"2,3,5-Trimethylpyrazine","2,3,5-三甲基吡嗪",,adamas,5g,4-2-1,122.17,0.979,solid
147356-78-3,946,N-METHOXY-N-METHYLCYCLOPROPANECARBOXAMIDE,N-甲氧基-N-甲基环丙烷甲酰胺,,adamas,25g,R3,129.16,1.126,liquid
147409-41-4,947,Bipymox,"6,6'-双(4-(S)-异丙基-2-噁唑啉基)-2,2'-联吡啶",,BLD;adamas,250mg;100mg,gL-R;gR-配体,378.47,1.25,solid
147-71-7,948,D-(-)-Tartaric acid,D-(-)-酒石酸,,adamas,250g,1-4,150.09,1.8,solid
14781-45-4,949,"Copper(II) hexafluoro-2,4-pentanedionate",双(六氟乙酰丙酮)合铜(II),,毕得;adams,1g;5g,2-4c;D2-2A,477.65,0.785,solid
14783-09-6,950,copper chloride; phen,"二氯(1,10-菲咯啉)铜(II)",,adamas,1g,D3,314.66,,solid
147-85-3,951,L-Proline,L-脯氨酸,,adamas,25g,1-4-1,115.13,1.35,solid
14818-35-0,952,"2,6-DIMETHYL-4-NITROSOPHENOL",环吡酮杂质B,,adamas,5g,2-3,192.25,1.088,solid
1483-56-3,953,2-bromo-5-(trifluoromethyl)benzoic acid,2-溴-5-三氟甲基苯甲酸,,adamas,5g,1-4-5,269.02,1.773,solid
148461-14-7,954,"(4S)-(-)-4,5-DIHYDRO-2-[2'-(DIPHENYLPHOSPHINO)PHENYL]-4-ISOPROPYLOXAZOLE",二氢二苯磷苯基-4-异丙恶唑,,BLD,1g,R4,373.43,,solid
148461-16-9,955,"(4S)-4-tert-butyl-2-[2-(diphenylphosphanyl)phenyl]-4,5-dihydro-1,3-oxazole",(S)-4-叔丁基-2-[2-(二苯基膦基)苯基]-2-噁唑啉,,adamas,100mg,gL-R,387.45,,solid
148493-37-2,956,"2,6-Dichloro-3-iodopyridine","2,6-二氯-3-碘吡啶",,adamas,1g,4-2-3,273.89,2.129,solid
1485-07-0,2457,(Naphthalen-2-ethanol;2-Naphthaleneethanol),2-萘乙醇,,adamas,1g,2-2,172.22,0.99,solid
1485-70-7,957,N-Benzylbenzamide,N-苄基苯甲酰胺,,adamas,25g,4-4-1,211.26,1.0694,solid
1486-28-8,958,Methyldiphenylphosphine,二苯基甲基膦,,adamas,1g,gR-配体,200.22,1.076,solid
14866-33-2,959,Tetraoctylammonium bromide,四正辛基溴化铵,,adamas,100g,7-2,546.79,1.0041,solid
148893-10-1,960,HATU,"2-(7-偶氮苯并三氮唑)-N,N,N',N'-四甲基脲六氟磷酸酯",,安耐吉,25g,R1,380.24,,solid
1489-69-6,961,Cyclopropanecarboxaldehyde,环丙甲醛,,adamas,25g,R8,70.09,0.938,liquid
14916-79-1,962,3-Heptyn-1-ol,3-庚炔-1-醇,,安耐吉,1g,R8,112.17,0.92,liquid
14916-80-4,963,3-Octyn-1-ol,3-辛炔-1-醇,,adamas,5g,1-4C;2-2A;R7,126.2,0.88,liquid
14918-21-9,964,5-Hexynenitrile,已炔腈,,adamas,0,3-2,93.13,0.889,solid
1493-13-6,965,trifluoromethanesulfonic acid,三氟甲磺酸,,adamas,100g;25g,3-4,150.08,1.696,liquid
14949-69-0,966,HEXAFLUOROACETYLACETONATO NICKEL (II) TRIHYDRATE,双(六氟乙基丙酮)合镍(II)水合物,,adamas,1g,gR-催化剂,472.79,,solid
149-74-6,967,dichloromethylphenylsilane,甲基苯基二氯硅烷,,adamas,100ml,3-2,191.13,1.176,liquid
1499-10-1,968,"9,10-Diphenylanthracene","9,10-二联苯蒽",,adamas,5g,D4,330.42,1.1398,solid
1499-21-4,969,Diphenylphosphinyl chloride,二苯基次膦酰氯,,adamas,25g,R2,236.63,1.24,liquid
1501-27-5,970,(MONO-METHYL GLUTARATE;MONO-METHYLgLUTARATE),戊二酸单甲酯,,adamas;安耐吉,5g;25g,1-4-2;1-5A;2-4,146.14,1.169,liquid
150-13-0,971,4-Aminobenzoic acid,对氨基苯甲酸,,adamas,100g,1-5-5,137.14,1.374,solid
15028-39-4,972,H-PHg-OME HCL,(S)-(+)-2-苯基甘氨酸甲酯盐酸盐,,adamas,0,R3,201.65,,solid
150-30-1,973,DL-Phenylalanine,DL-苯丙氨酸,,adamas,25g;100g,3-5;R3,165.19,1.1603,solid
1504-58-1,974,3-Phenyl-2-propyn-1-ol,3-苯基-2-丙炔-1-醇,,adamas,5g,R7,132.16,1.06,solid
150529-93-4,975,"(R,R)-2,2'-(dimethylmethylene)bis(4-phenyl-2-oxazoline)","(+)-2,2'-异亚丙基双[(4R)-4-苯基-2-唑啉]",,adamas,250mg,gL-R,334.41,1.18,solid
150529-93-4,976,"(R,R)-2,2'-(dimethylmethylene)bis(4-phenyl-2-oxazoline)","(R,R)-2,2'-异亚丙基双(4-苯基-2-恶唑啉)",,adamas,100mg,gR-配体,334.41,1.18,solid
150639-33-1,977,(+)-(4S)-PHENYL-ALPHA-[(4S)-PHENYLOXAZOLIDIN-2-YLIDENE]-2-OXAZOLINE-2-ACETONITRILE,(4S)-(+)-苯基-Α-[(4S)-苯基噁唑烷-2-亚基]-2-噁唑啉-2-乙腈,,BLD,250mg,gL-R,331.37,1.27,solid
150736-71-3,978,tert-butyl N-[(2R)-1-hydroxybutan-2-yl]carbamate,N-Boc-(R)-2-氨基-1-丁醇,,adamas,1g,2-2,189.25,,solid
150736-72-4,979,"N-BOC-(S)-2-AMINO-1-BUTANOL, 96%",N-叔丁氧羰基-(S)-(-)-2-氨基-1-丁醇,,adamas,5g,3-2,189.25,,solid
150-76-5,980,4-Methoxyphenol,对羟基苯甲醚,,安耐吉,25g;100g,4-3;4-3-2,124.14,1.55,solid
15086-94-9,981,Solvent Red 43,溶剂红 43,,adamas,25g,D1-5A,647.89,1.02,solid
151049-87-5,982,3-bromo-1-methylpyrazole,3-溴-1-甲基吡咯,,adamas,1g,1-3-4,161.0,1.585,liquid
1514-82-5,983,"2-Bromo-3,3,3-trifluoropropene","2-溴-3,3,3-三氟-1-丙烯",,adamas,25g,R7,174.95,1.686,liquid
1515-95-3,984,4-Ethylanisole,4-乙基苯甲醚,,adamas,5g,3-3B,136.19,0.958,liquid
151670-69-8,985,"2,6-Bis[(4S)-benzyl-2-oxazolin-2-yl]pyridine","2,6-二[(4S)-4-苄基-2-噁唑啉基-2-基]吡啶",,BLD,1g,gR-配体,397.47,1.24,solid
1517-82-4,986,"(1R,2S,5R)-(-)-Menthyl (S)-p-Toluenesulfinate","(1R,2S,5R)-(-)-薄荷基(S)-对甲苯亚磺酸酯",,乐研,10g,L6,294.45,1.08,solid
151937-09-6,987,"benzenepropanoic acid, 4-(methoxycarbonyl)-",3-(4-甲氧基羰基苯基)丙酸,,adamas,5g,1-4-3,208.21,,solid
15206-55-0,988,Methyl Benzoylformate,苯甲酰甲酸甲酯,,ernergy,100g,2-4,164.16,1.155,liquid
15231-91-1,989,6-Bromo-2-naphthol,6-溴-2-萘酚,,adamas,100g,4-3-3,223.07,1.4412,solid
15238-00-3,990,Cobalt(II) iodide,碘化钴,,adamas,5g,gR-催化剂,312.74,5.45,solid
1532-71-4,991,1-Bromoisoquinoline,1-溴异喹啉,,adamas,5g,R3,208.05,1.564,solid
15376-08-6,992,"三(2,2'-联吡啶)溴化镍","三(2,2'-联吡啶)溴化镍",,adamas,1g,gR-催化剂,607.16,,solid
15418-29-8,993,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,六氟磷酸四乙氰铜四氟硼酸盐,,adamas;阿拉丁,5g,D1;gR-催化剂,314.56,1.466,solid
154748-49-9,994,3-(Boc-amino)cyclobutanone,3-氧代环丁基氨基甲酸叔丁酯,,energy,25g,2-3,185.22,1.1,solid
155418-82-9,995,"(R)-2,2'-bis((S)-4-isopropyl-4,5-dihydrooxazol-2-yl)-1,1'-binaphthalene","(R)-2,2'-双((S)-4-异丙基-4,5-二氢恶唑-2-基)-1,1'-联萘",,BLD,250mg,R4,476.62,1.2,solid
155830-69-6,996,(R)-(-)-1- (S)-2-(Diphenylphosphino)ferrocenyl ethyldi-t-butylphosphine,(R)-1-[(SP)-2-(二苯基膦基)二茂铁]乙基二叔丁基膦,,adamas,1g,gR-配体,542.45,,solid
1560-54-9,997,Allyltriphenylphosphonium bromide,烯丙基三苯基溴化鏻,,adamas,25g,3-3,383.26,,solid
156275-96-6,998,Triisopropylsilanethiol,三异丙基硅烷硫醇,,ADAMAS,1g,R6,190.42,0.887,liquid
15684-35-2,999,cobalt tetrafluoroborate hexahydrate,氟硼酸钴,,adamas,5g,gR-催化剂,340.63,,solid
15684-36-3,1000,Nickel(II) tetrafluoroborate hexahydrate,四氟硼酸镍(II)六水合物,,adamas,5g,gR-催化剂,163.51,1.5,solid
15687-27-1,1001,ibuprofen,2-(4-异丁基苯基)丙酸,,adamas,25g,1-4-1,206.28,1.0364,solid
156-87-6,1002,3-Aminopropanol,3-氨基-1-丙醇,,安耐吉,25g,2-2,75.11,0.982,liquid
156-87-6,1003,3-Amino-1-propanol,3-氨基丙醇,,adamas,100g,3-5,75.11,0.982,liquid
1569-69-3,1004,Cyclohexyl mercaptan,环己硫醇,,adamas,5g,R1,116.22,0.95,liquid
15727-65-8,1005,1-Ethynylnaphthalene,1-乙炔萘,,adamas,5g,R6,152.19,1.07,liquid
15750-47-7,1006,CERIUM(III) OXALATE,草酸铈(III)水合物,,阿拉丁,25g,D3,562.3,,solid
15760-36-8,1007,3-Methylenecyclobutanecarboxylic acid,3-亚甲基环丁烷羧酸,,adamas,5g,3-4;R2,112.13,1.12,liquid
1576-35-8,1008,4-Methylbenzenesulfonhydrazide,对甲苯磺酰肼,,adamas,100g,3-4,186.23,1.42,solid
1576-84-7,1009,3-Butenyl Acetate,乙酸 -3-丁烯酯,,adamas,5g,3-5B,114.14,0.91,liquid
1577-22-6,1010,5-Hexenoic Acid,5-己烯酸,,adamas,5g,1-4-2,114.14,0.961,liquid
157904-67-1,1011,"(4R,4'R,5S,5'S)-2,2'-(1-Methylethylidene)bis[4,5-dihydro-4,5-diphenyl-Oxazole","2,2-双[2-(4R,5S二苯基-1,3-噁唑啉基)]丙烷",,BLD,250mg,gL-R,486.6,1.16,solid
1585-07-5,1012,1-Bromo-4-ethylbenzene,1-溴-4-乙基苯,,adamas,5g,1-3,185.06,1.343,liquid
1585-16-6,1013,"2,4,6-Trimethylbenzyl chloride","2,4,6-三甲基氯苄",,adamas,25g,1-2-2,168.66,1.0131,solid
1589-60-2,1014,1-Phenylcyclohexanol,1-苯基-1-环己醇,,adamas;毕得,5g,2-2;gL;R8,176.25,1.035,solid
15912-75-1,1015,triphenyl(propyl)phosphanium bromide,丙基三苯基溴化膦,,adamas,100g,R3,305.38,,solid
1591-31-7,1016,4-Iodobiphenyl,4-碘联苯,,adamas,25g,1-2-3,280.1,1.6696,solid
159269-48-4,1017,"1-fluoro-4-methyl-1,4-diazabicyclo[2.2.2]octane-1,4-diium ditetrafluoroborate","1-氟-4-甲基-1,4-二氮杂双环[2.2.2]辛烷四氟硼酸盐",,adamas,5g,R2,233.01,0.85,solid
159635-49-1,1018,tert-Butyl 4-methylenepiperidine-1-carboxylate,N-Boc-4-亚甲基哌啶,,adamas,5g,2-3a,197.27,1,liquid
16009-13-5,1019,Hemin,氯化血红素,,adamas,5g,R1,650.94,,solid
16088-07-6,1020,DL-PHENYLALANINOL,DL-2-氨基-3-苯基-1-丙醇,,adamas,5g,D1-2A;L1,151.21,1.077,solid
161233-97-2,1021,2-cyanopyridine-4-carboxylic acid,4-氰基吡啶-4-羧酸,,adamas,1g,1-4-5,148.12,1.42,solid
161265-03-8,1022,"4,5-Bis(diphenylphosphino)-9,9-dimethylxanthene","4,5-双(二苯基膦)-9,9-二甲基氧杂蒽",,adamas;毕得,5g,2-2C;gR-配体,578.62,,solid
16133-25-8,1023,pyridine-3-sulfonyl chloride,吡啶-3-磺酰氯,,安耐吉,5g,R3,177.61,1.488,solid
1617-32-9,1024,3-PENTENOIC ACID,3-戊烯酸,,adamas,5g,3-4,100.12,0.986,liquid
1620-75-3,1025,6-Methyl-2-pyridinecarbonitrile,6-甲基-2-吡啶甲腈,,adamas,10g,3-1A,118.14,1.08,solid
1620-76-4,1026,2-Cyano-4-methylpyridine,2-氰基-4-甲基吡啶,,adamas,5g,3-4,118.14,1.08,solid
1620-77-5,1027,2-Cyano-5-methylpyridine,2-氰基-5-甲基吡啶,,adamas,5g,3-4,118.14,1.08,solid
16212-05-8,1028,Allyl Phenyl Sulfone,烯丙基苯砜,,adamas,1g,4-3a,182.24,1.189,liquid
162157-03-1,1029,(S)-(4-Isopropyloxazolin-2-yl)ferrocene,(S)-(4-异丙基恶唑啉-2-基)二茂铁,,BLD,1g,R4,297.177,,solid
16225-26-6,1030,"3,5-Di-tert-butylbenzoic Acid","3,5-叔丁基苯甲酸",,安耐吉,5g,1-5-1,234.33,0.9725,solid
1623-93-4,1031,4-BIPHENYLSULFONYL CHLORIDE,对联苯磺酰氯,,adamas;安耐吉,25g;5g,3-4,252.72,1.32,solid
162401-62-9,1032,3-(cyclopropylmethoxy)-4-(difluoromethoxy)benzoic acid,3-环丙甲氧基-4-二氟甲氧基苯甲酸,,安耐吉,5g,1-4-4,258.22,1.355,solid
162401-62-9,1033,3-(cyclopropylmethoxy)-4-(difluoromethoxy)benzoic acid,3-(环丙甲氧基)-4-(二氟甲氧基)苯甲酸,,安耐吉,5g,1-4-4,258.22,1.355,solid
1624-62-0,1034,Estrone 3-methyl ether,3-甲氧基雌酮,,adamas,100mg,2-3B,284.39,1.103,solid
1625-91-8,1035,"4,4'-Di-tert-butylbiphenyl","4,4'-双叔丁基联苯",,adamas,25g,1-1,266.42,0.9463,solid
162848-16-0,1036,"4-(1,2,4-triazol-1-yl)benzoic acid","4-(1H-1,2,4-三唑-1-基)苯甲酸",,adamas,250mg,1-4-5,189.17,,solid
1629-58-9,1037,Ethyl vinyl ketone,1-戊烯-3-酮,,安耐吉,5ml,R1,84.12,0.845,solid
163169-29-7,1038,"(S,S)-[2-(4'-i-Propyloxazolin-2'-yl)ferrocenyldiphenylphosphine",(S)-1-(二苯基膦基)-2-[(S)-4-异丙基恶唑啉-2-基]二茂铁,,adamas,100mg,gR-配体,475.31,,solid
1631-83-0,1039,Diphenylchlorosilane,二苯基氯硅烷,,adamas,5g,3-2,218.75,1.118,liquid
16355-92-3,1040,"1,10-Diiododecane","1,10-二碘癸烷",,adamas,5g,R2,394.07,2.35,solid
1638-86-4,1041,Diethyl phenylphosphonite,苯基膦酸二乙酯,,adamas,5g,3-3,198.2,1.032,liquid
1642-81-5,1042,4-(Chloromethyl)benzoic Acid,对氯甲基苯甲酸,,adamas,5g,1-4-4,170.59,1.315,solid
1643-19-2,1043,Tetrabutylammonium bromide,四丁基溴化铵,,百灵威;安耐吉,100g;500g,2-1b;7-2,322.37,1.039,solid
1643-30-7,1044,3-(4-Bromophenyl)propionic acid,3-(4-溴苯基)丙酸,,adamas,25g,1-4-3,229.07,1.531,solid
164365-88-2,1045,Boc-NH-C4-Br,4-(Boc-氨基)丁基溴,,adamas,1g,1-3-1,252.15,1.228,liquid
16456-81-8,1046,"5,10,15,20-tetraphenyl-21H,23H-porphine iron(III) chloride",四苯基卟啉铁,,adamas,100mg,D3,704.03,,solid
1646862-39-6,1047,"Bis((R)-4-benzyl-4, 5-dihydrooxazol-2-yl)methane","双((R)-4-苄基-4, 5-二氢恶唑-2-基)甲烷",,BLD,250mg,gR-配体,334.41,1.19,liquid
16473-35-1,1048,4-(Chloromethyl)benzyl alcohol,4-(氯甲基)苯甲基醇,,adamas,25g,1-2-2,156.61,1.195,solid
165125-95-1,1049,"pyridine, 2,6-bis(4,5-dihydro-2-oxazolyl)-","2,6-双(4,5-二氢噁唑-2-基)吡啶",,adamas,250mg,gR-配体,217.22,1.43,solid
16518-62-0,1050,"3-Bromo-N,N-dimethylaniline","3-溴-N,N-二甲基苯胺",,adamas,25g,1-3-3;3-5,200.08,1.402,liquid
16520-62-0,1051,4-Phenyl-1-butyne,4-苯基-1-丁炔,,adamas;energy,1g;2g,2-2A;3-2,130.19,0.926,liquid
1655-07-8,390,ethyl 2-cyclohexanonecarboxylate,2-环己酮甲酸乙酯,,adamas,5ml,2-4,170.21,1.064,liquid
1656253-81-4,1052,"(4R,4'R,5S,5'S)-2,2'-(1,3-Dihydro-2H-inden-2-ylidene)bis[4,5-dihydro-4,5-diphenyloxazole","(4R,4'R,5S,5'S)-2,2'-(1,3-二氢-2H-茚-2-甲基叉双[4,5-二氢-4,5-二苯基恶唑",,BLD,250mg,gR-配体,560.68,1.22,solid
1659-31-0,1053,Di-2-pyridyl Carbonate,碳酸二(2-吡啶)酯,,安耐吉,5g,2-4,216.19,1.307,solid
1660-93-1,1054,"3,4,7,8-Tetramethyl-1,10-phenanthroline","3,4,7,8-四甲基-1,10-菲罗啉",,adamas,1g,gR-配体,236.31,1.0937,solid
1661836-10-7,1055,Sodium fluoromethanesulfinate,氟甲基亚磺酸钠,,adamas,250mg,R1,120.0785532,,solid
1662-01-7,1056,Bathophenanthroline,"4,7-二苯基-1,10-菲啰啉",,adamas,5g,gR-配体,332.4,1.2047,solid
1663-39-4,1057,tert-Butyl acrylate,丙烯酸叔丁酯,,ADAMAS,25g,R7,128.17,0.875,liquid
1663-45-2,1058,"1,2-Bis(diphenylphosphino)ethane","1,2-双(二苯基膦)乙烷 (DPPE)",,adamas,1g,gR-配体,398.42,,solid
16635-95-3,1059,"1,2-Diphenylethylenediamine","1,2-二苯基乙二胺",,毕得,5g,3-5,212.29,0.97,solid
1663-67-8,1060,Malonyl chloride,丙二酰氯,,energy,25g;5g,R8,140.95,1.449,liquid
16642-79-8,1061,3-(4-Nitrophenyl)propanoic acid,3-(4-硝基苯基)丙酸,,adamas,5g,1-4-1,195.17,1.3544,solid
16712-64-4,1062,6-Hydroxy-2-naphthoic Acid,2-羟基-6-萘甲酸,,adamas,100g,4-3-3,188.18,1.21,solid
167171-03-1,1063,"(4R)-2-[2-(diphenylphosphanyl)phenyl]-4-phenyl-4,5-dihydro-1,3-oxazole",(R)-(-)-2-[2-(二苯基膦)苯基]-4-苯基-2-噁唑啉,,adamas,100mg,gL-R,407.44,,solid
1679-64-7,1064,mono-Methyl terephthalate,对苯二甲酸单甲酯,,adamas,5g,1-4-5,180.16,1.1987,solid
16839-97-7,1065,2-Methoxythiophene,2-甲氧基噻吩,,adamas,1g,3-3B,114.17,1.133,liquid
16853-85-3,1066,Lithium aluminium hydride,氢化铝锂,,adamas,100g,D4,37.954298,0.97,solid
16872-11-0,1067,"Hydrogen tetrafluoroborate,",氟硼酸,,安耐吉,0,4-3c,87.81,1.38,liquid
16874-33-2,1068,2-tetrahydrofuroic acid,2-四氢糠酸,,adamas,5g,1-4-2,116.12,1.209,liquid
16939-57-4,1069,"1-phenyl-1,3-butadiene","1-苯-1,3-丁二烯",,adamas,0;1g,-20 oC 1-A;L1;L2,130.19,0.9286,liquid
16941-11-0,1070,Ammonium hexafluorophosphate,六氟磷酸铵,,adamas,100g,6-3,163.0,2.18,solid
1694-92-4,1071,2-Nitrobenzenesulfonyl Chloride,邻硝基苯磺酰氯,,adamas,500g,R1,221.62,1.606,solid
169590-42-5,1072,Celecoxib,塞来昔布,,adamas,5g,3-4,381.37,1.43,solid
1701405-00-6,1073,"1-[(4S)-4,5-Dihydro-4-isopropyl-2-oxazolyl]isoquinoline","1-[(4S)-4,5-二氢-4-异丙基-2-恶唑基]异喹啉",,BLD,250mg,gL-R,240.3,1.18,solid
170491-63-1,1074,2-HYDROXYMETHYL-PYRROLIDINE-1-CARBOXYLIC ACID TERT-BUTYL ESTER,2-羟甲基吡咯烷-1-羧酸丁酯,,安耐吉,5g,2-2;gRLW,201.26,1.084,solid
170564-98-4,1075,(R)-3-Amino-3-phenylpropan-1-ol,(R)-3-氨基-3-苯基-1-丙醇,,adamas,1g,2-2,151.21,1.0406,solid
17084-13-8,1076,Potassium hexafluorophosphate,六氟磷酸钾,,绍远,100g,7-2,184.06,2.75,solid
17116-10-8,1077,Tetraethylammonium hexachlorocerate(IV),六氯铈(IV)四乙基铵,,毕得,100mg,,613.34,,solid
171290-52-1,1078,"(1-ETHYNYL-3 5-DIMETHOXYBENZENE 98;3,5-Dimethoxyphenyl acetylene)","3,5-二甲氧基苯乙炔",,adamas,25g;5g,3-2,162.19,1.06,solid
171364-79-7,1079,"4-METHOXYPHENYLBORONIC ACID, PINACOL ESTER",4-甲氧基苯硼酸频哪醇酯,,adamas,25g,2-4,234.1,1.02,solid
1717-59-5,1080,"2,2-Difluoro-2-(fluorosulfonyl)acetic acid","2,2-二氟-2-(氟磺酰)醋酸盐",,adamas,5g,R2,178.09,1.723,liquid
1717-59-5,1081,2-(Fluorosulfonyl)difluoroacetic acid,2-氟磺酰基二氟乙酸,,adamas,5g;10g,R8;R9,178.09,1.723,liquid
1719-53-5,1082,Dichlorodiethylsilane,二氯二乙基硅烷,,adamas,1g,R9,157.11,1.05,liquid
17213-57-9,1083,"3,5-Dimethoxybenzoyl Chloride","3,5-二甲氧基苯甲酰氯",,adamas,1g,1-5-3,200.62,1.2799,solid
17217-57-1,1084,"4,4'-Dimethoxy-2,2'-bipyridine","4,4'-二甲氧基-2,2'-联吡啶",,adamas,1g;5g,2-4a;gR-配体,216.24,1.143,solid
17247-58-4,1085,(Bromomethyl)cyclobutane,(溴甲基)环丁烷,,adamas,1g,1-3-1,149.03,1.326,liquid
17283-81-7,1086,Dihydro-beta-ionone,二氢-β-紫罗兰酮,,adamas,5g,3-2,194.31,0.923,solid
173035-10-4,1087,"1,3-bis(2,4,6-trimethylphenyl)-imidazolidinium-chloride","1,3-双( 2,4,6-三甲苯基)氯化咪唑鎓",,毕得,5g,3-2,344.92,,solid
17347-32-9,1088,6-bromo-1-benzothiophene,6-溴苯并噻酚,,adamas,1g,gRc,213.09,1.649,solid
1740-19-8,1089,Dehydroabietic acid,脱氢枞酸,,adamas,25g,1-4-1,300.44,1.058,solid
174500-20-0,1090,"2,6-Bis[4S-4-phenyl-2-oxazolinyl]pyridine","2,6-双[4S-4-苯基-2-噁唑啉基]吡啶",,BLD,1g,gR-配体,369.42,1.28,solid
174501-64-5,1091,1-Butyl-3-methyl-1H-imidazol-3-ium hexafluorophosphate(V),1-丁基-3-甲基咪唑六氟磷酸盐,,adamas,25g,7-2,284.18,1.38,liquid
175166-49-1,1092,"(-)-2,2-Methylenebis(3A,8A-Dihydro-8H-Indeno(1,2-D)Oxazole)","(-)-2,2'-亚甲基双[(3aS,8aR)-3a,8a-二氢-8H-茚苯[1,2-d]并恶唑",,BLD,1g,gR-配体,330.38,1.48,solid
17567-17-8,1093,"Potassium Tris(3,5-dimethylpyrazol-1-yl)borohydride","三(3,5-二甲基-1-吡唑基)硼氢化钾",,adamas,1g,gR-配体,336.29,,solid
1759-53-1,1094,Cyclopropanecarboxylic Acid,环丙甲酸,,adamas,25g,1-4-1,86.09,1.081,liquid
1762-34-1,1095,"5,5'-Dimethyl-2,2'-bipyridyl","5 5'-二甲基-2,2-联吡啶",,adamas,5g,3-3,184.24,1.06,solid
176508-81-9,1096,4-Cyano-3-fluorobenzoic acid,4-氰基-3-氟苯甲酸,,adamas,1g,1-4-4,165.12,1.42,solid
1765-93-1,1097,4-Fluorophenylboronic acid,4-氟苯硼酸,,adamas,25g,2-4,139.92,1.24,solid
17754-90-4,1098,4-(Diethylamino)salicylaldehyde,4-(二乙基氨基)水杨醛,,安耐吉,25g,3-4B,193.24,1.0945,solid
17763-67-6,1099,Phenyl Trifluoromethanesulfonate,苯基三氟甲烷磺酸酯,,安耐吉,5g,3-4,226.17,1.396,liquid
1779-49-3,1100,Methyltriphenylphosphonium bromide,甲基三苯基溴化膦,,adamas,500g,3-3,357.22,,solid
1779-51-7,1101,Butyltriphenylphosphonium bromide,丁基三苯基溴化膦,,adamas,100g,3-3,399.3,,solid
178889-49-1,1102,1-methylcyclopentyl prop-2-enoate,丙烯酸甲基环戊酯,,TCI,1g,R1,154.21,0.97,liquid
1791-26-0,1103,4-VINYL-BENZALDEHYDE,4-乙烯基苯甲醛,,adamas,1g,3-4,132.16,1.036,solid
17966-67-5,1104,N-benzoyl-dl-leucine,N-苯甲酰亮氨酸,,TCI;adamas,25g;5g,1-4-2,235.28,1.132,solid
17979-81-6,1105,sodium triethylborohydride,三乙基硼氢化钠,,adamas,1ml,4-1B,118.97,0.89,liquid
1803416-30-9,1106,"2-[(4S)-4,5-dihydro-4-(1-methylethyl)- 2-oxazolyl]-5-(trifluoromethyl)-Pyridine","(S)-4-异丙基-2-(5-(三氟甲基)吡啶-2-基)-4,5-二氢噁唑",,BLD,250mg,R4,258.24,1.31,solid
180516-87-4,1107,4-Carboxybenzeneboronic acid pinacol ester,4-羧基苯硼酸频那醇酯,,adamas,1g,1-4-5,248.08,1.15,solid
180695-79-8,1108,1-Boc-4-bromopiperidine,1-Boc-4-溴哌啶,,adamas,1g,1-3-2,264.16,1.3403,solid
1810004-87-5,1109,"3,6-di-tert-butyl-9-mesityl-10-phenylacridin-10-ium tetrafluoroborate","3,6,-二叔丁基-9-均三甲苯基-10-苯基吖啶-10-四氟硼酸盐",,,1g,gR-催化剂,573.5141128,,solid
18107-18-1,1110,(Trimethylsilyl)diazomethane,(三甲基硅烷基)重氮甲烷,,adamas,25ml,R8,114.22,0.773,liquid
18115-70-3,1111,lithium acetylacetonate,乙酰基丙酮锂,,energy,100g,6-1,106.05,,solid
18162-48-6,1112,tert-Butyldimethylsilyl chloride,叔丁基二甲基氯硅烷,,adamas,100g,3-2,150.72,0.87,solid
1817-57-8,1113,4-Phenyl-3-butyn-2-one,4-苯基-3-丁炔-2-酮,,adamas,1g,3-2,144.17,0.99,liquid
1819994-24-5,1114,"(4R,4'R)-2,2'-Cyclopropylidenebis[4,5-dihydro-4-phenylo xazole]","(4R,4'R)-2,2'-环丙亚基双[4,5-二氢-4-苯基噁唑]",,adamas,100mg,gL-R,332.4,1.29,solid
1821-12-1,1115,4-Phenylbutyric Acid,4-苯基丁酸,,adamas,5g;25g,1-4-1;1-4-2,164.2,1.0326,solid
182122-08-3,1116,"(3aS,3'aS,8aR,8'a'R)-2,2'-cyclopropylidenebis[3a,8a-dihydro-8H-Indeno[1,2-d]oxazole","(3AS,3'AS,8AR,8'A'R)-2,2'-环丙亚基双[3A,8A-二氢-8H-茚并[1,2-D]噁唑]",,BLD,250mg,gR-配体,356.42,1.54,solid
182122-12-9,1117,"(3aS,3'aS,8aR,8'aR)-2,2'-Cyclopentylidenebis[3a,8a-dihydr o-8H-indeno[1,2-d]oxazole]","(3AS,3'AS,8AR,8'AR)-2,2'-环亚戊基双[3A,8A-二氢-8H-茚并[1,2-D]噁唑",,adamas,100mg,gL-R,384.47,1.46,solid
182122-13-0,1118,"(3aS,3a'S,8aR,8a'R)-2,2'-Cyclohexylidenebis[8,8a-dihydro -3aH-indeno[1,2-d]oxazole],99%e.e.","(3AS,3A'S,8AR,8A'R)-2,2'-环己亚基双[8,8A-二氢-3AH-茚并[1,2-D]噁唑]",,adamas,250mg,gL-R,398.5,1.42,solid
18217-00-0,1119,1-(2-Chloroethyl)-4-methoxybenzene,2-(4-甲氧苯基)-氯乙烷,,adamas,1g,R3,170.64,1.13,liquid
